"","business_id","weighted_sentiment","price_score","service_score","atmosphere_score"
"1","-3AooxIkg38UyUdlz5oXdw",-0.042,0.223,-0.049,0.409
"2","-9r8nAzWyRSLxBWt8uQOdA",-0.062,0.036,-0.674,0
"3","-FM4CxOg4XXmX_Ebky_SiQ",0.013,0.048,1.687,1.14
"4","-H-fZonTLitwHFY_PLAIjA",0.004,0,1.401,0
"5","-I7M6l0h46VdiN09Y1NUZw",0.008,0.125,0.302,0.167
"6","-NXRuUsazxXZZ_OHwmtYtw",-0.029,-0.059,0.624,0.656
"7","-SS3ep20HKhuOhzDkkt9aA",-0.022,0.186,0.014,0.093
"8","-TjT3y-Glfnbt6LbKETAYg",0.012,0.056,0.933,0.456
"9","-ipZBVF9nWm1vzrvQ3444A",-0.016,0,0.21,0.085
"10","-kfHz1kimX62QEceFkkB_g",-0.017,0.131,-0.073,-0.028
"11","-loV4cB2Uh9TCltTRgGzWQ",-0.007,0.051,-0.032,0.17
"12","-r6nmLB5Vi2TLQCxh0_dtw",-0.007,0.201,0.893,0
"13","035gK3ASKDns-ojUSnV4IA",0.023,0.218,-0.285,0.203
"14","06pNHtxgPhGhZpM0Z2uzNw",-0.023,0.158,0.076,0.263
"15","0RxU5OglQyPVtLKC1LPgsA",0.02,0,0.528,0.07
"16","0ac5lGA_0wdKDnib3y59Xg",0.004,0.095,0,0.309
"17","0cWnURpfrb4MqKSzyVN4SQ",0.026,0,0.355,0.045
"18","0it-2gWk_gyuZyEMQzBBuQ",-0.003,0.076,0.745,0.371
"19","0jpFptAehZhLl3nkhHDanA",0.023,0,0.586,0.299
"20","0mUVD5sDXZjd66XwATN8XA",-0.004,0.064,0,0
"21","0qu0fNTOsSmuREYVIMPuIQ",0.004,0,0.167,0.341
"22","18eWJFJbXyR9j_5xfcRLYA",0.023,0.157,1.244,0.369
"23","1Du1NruqJwxnzgEUHc42Jw",0.073,0.251,0.971,0.326
"24","1FURjeGJi_LBXcJQg8eskw",0.017,0.554,0.818,0.345
"25","1kVnChI4aqsPw9i2PVqkkw",-0.014,0.079,0.331,0.347
"26","1l4-uhraQzNiRjppKyMUUQ",0.032,0,0.713,0
"27","23OxrUaCvvVrwSa1z3xG-w",0.061,0.148,0.797,0.058
"28","27zlxlmlQu9KBr5Vj4MGeg",0.007,0.023,1.205,0.163
"29","29t8lDBLiwkEd1HA356dOw",-0.042,0.017,0.086,0
"30","2N9WHETHcYJsfYpHQ-qN_A",-0.015,0.078,0.109,0
"31","2RtyOlU9mwyVisvgOECaDA",-0.023,0.076,0.251,0
"32","2WHu0k5VVM1Pn9AFzkSBlA",0.033,0.16,0.283,0
"33","2Y0L3Hf6U-76jGvviKy5pA",-0.051,0.061,-0.005,0
"34","2YnQAJdeFrcgPa8MqIYcDg",-0.018,0.038,0.478,0.057
"35","2aP9wvEqpGLLDVpWTWlAog",0.004,0,0.39,0
"36","2bxZhBk8JZkJ1GqfTB0cUQ",-0.044,0.195,0.208,0.099
"37","2l-spLLGUzRiZg8dF623Nw",0.003,0,0.192,0.082
"38","2pBNVsJo3a3CPbInUu9lvQ",-0.044,-0.086,-0.088,0.06
"39","2swMZVA832zkmdPBrddPRQ",0.007,0.467,0.512,0
"40","2xxkaRy7rP5EUyjFt2J5kA",-0.009,0.086,0.64,0.089
"41","34Eqv8jXgxg_EEwcsNgeeg",-0.005,0.151,0.22,0.108
"42","3VrqxApK-iwfRohlAuIt0g",0.018,0.211,0.384,0.622
"43","3Wy21heeDm8h2tSZfcj6OA",0.022,0.186,1.619,0.775
"44","3fpAmsSuEFNF29UUPpgwlw",0.064,0.058,0.747,0
"45","3tvi-OJ_-iK1ecjzSaH-oA",0.004,0,0.637,0.098
"46","3xJ_6qxRA0sdUm3ThCPiCw",-0.001,0,-0.927,0.419
"47","425FOxIzHPcOB0niWc6-1w",-0.008,0,-0.1,0
"48","45D7B9CqiUTTPUFcqmLx5Q",0.008,-0.069,0.976,0.776
"49","45Ut-AN8h3c88-pYTrGBnA",-0.017,0.123,0.657,0.105
"50","4D7QDfPOsSPfKxBi3gs_qQ",-0.007,0.031,0.229,0.504
"51","4VW4_ghjdYw0Wl40Voa9cw",-0.027,0.085,-0.01,0.193
"52","4h4Uskb7B8OTI7oDR7wImQ",0.014,0.19,0.329,0
"53","54oLdsGU9B8HxFTqCCqV-A",0.016,0.583,0.922,0.812
"54","5Z7HXqp22lSiN0Q8iF94hQ",-0.026,-0.05,0.24,0.253
"55","5uNCvNy9L6peKeKP1RRPyg",-0.027,0,0.408,0.283
"56","5vObJIHLO-QOMrw_MvC4rA",0.004,0.104,0.981,0.274
"57","6EPPtwJR1kdIfHiCjzCzuw",-0.01,0.051,0.297,0.167
"58","6EizP0XyqITuGZ8GZMI9Lw",0.034,0.279,2.775,1.105
"59","6HTGlttrzCMsuGBHO1ZGiw",0.042,0.065,1.071,0.994
"60","6RBZfirnzE4NahJTn1UPNA",-0.005,0.24,0.43,0.079
"61","6TciI6uBdrd8z1av1YleLg",-0.019,0.142,0.264,0.096
"62","6VVbLYay8czrjKJ4xRoTxQ",0.028,0,1.344,0
"63","6kPHr6gZaU9732ptn9gJrA",-0.016,0.058,0.491,0.173
"64","6m4A_ciUZn1G302yx1YV1w",0.013,0.127,0.145,0
"65","6smGb7xv5fDbBsLgW1WC2w",-0.02,0,0.048,0.193
"66","7IdIGemGZodDAA_9mJCigA",0.014,0.086,0.592,0.062
"67","7wSnkgOORRCqVDa_n8Upxg",0.003,0.081,1.657,0.123
"68","7wcHZ80HLJVwUijAH_efJQ",-0.031,0,0.205,0
"69","8-ZExybRuyyXZf6aESgc3g",-0.001,0,0.327,0.088
"70","8A5LSwsKK5vXDH1M3_Tf1w",-0.002,-0.024,1.347,0.575
"71","8Lbz0hfE4MWzd7yDu9atBA",0.037,0.167,1.067,0.637
"72","8MoqZqlNN9AXzG91_Hpc_Q",-0.017,0.148,0.4,0.38
"73","8RlO6NuhWzXktp-1croq5A",-0.003,0.132,0.169,0.106
"74","8Vo6LN9gqULhXzoxj5k6kQ",0.029,0.031,1.635,0.623
"75","8_r9EZL6vX5fPBoVh3gUrA",0,-0.018,0.665,0.713
"76","8r_n8JdKQ0gePm2neSkL7A",-0.05,0.087,0.283,0
"77","9h0i4lVC5eCVhRTanWsEAg",0.006,0.144,0.913,0.936
"78","9kfN12wVGnKo54AaRjz0vQ",0.005,0.099,0.255,0.025
"79","9u79dIXLQzmt9rnOZEnBaQ",-0.039,0.056,0.119,0.019
"80","9ugpNKKhnYRa51qXoxUw_A",0,0.489,0.893,0.044
"81","9xW7LsJpyhVZFRb6z9xorg",0.02,0,1.204,0.303
"82","A263bVzMdU_-TIMhewOrjQ",-0.002,0.261,1.284,0.153
"83","AFZTm786brtTbEc5yYBgfA",-0.016,0,0.275,0.125
"84","AQw0B8j9QV1RkFLLFiwkuw",-0.015,0.209,-0.021,0.206
"85","AXC__4yZrn-N3BT7-2bV_Q",0.009,0,0.163,0.442
"86","Aes-0Q_guDeYewMapFs_vg",-0.046,0.057,0.457,0.216
"87","AgVekFXqwt4Y1HxfQcpyiw",0.011,0.054,0,0
"88","Ak4vFqHZUWU5KXONRnuieQ",-0.019,0.261,0.597,0.131
"89","AmAc0eD6lyVyb7QdOAO1Mg",-0.025,-0.157,-0.081,-0.083
"90","B1yPXzIIJrLWyTcE4jsYuQ",-0.029,0,0.606,0.185
"91","B2Mpi0gW4-oFFVKkDpIxvg",-0.023,0.324,-0.035,0
"92","BErYojCJSO959vzaz9JclQ",0.021,0.145,0.526,0.55
"93","BQv7ntaOxs80FJAji2U9pg",-0.016,0.06,-0.009,0.217
"94","BVzFvRrgMpL62oPIqGvLMg",-0.006,0.158,0.46,0.193
"95","B_q2xoAgTyn6U4YNEc3kSw",-0.018,0,0.229,0.092
"96","BaWVwChTW_MqkKru_WZp3g",-0.018,0.14,0.303,0.067
"97","BwUWmUFKCuJ-nN9vFwMt2Q",0.001,0.117,0.003,0.115
"98","C-aATB7SbuwMBPN5dgjghQ",-0.077,-0.213,-0.527,0.213
"99","COSC9JC0Vjr89CaTZuPkUA",-0.022,0.256,0.034,0.117
"100","CTmAWi-W8_Id00EjHF5Uwg",-0.017,0,-0.523,0
"101","CUWituEeIX3xA0xU7X82Ow",0.013,0.094,0.039,0.193
"102","CYwC5OjwCN6ib_AQDxi3Ow",-0.034,0.149,1.367,0
"103","Ce6B2-CYAjGvRZe3GKyxYA",-0.043,-0.273,0,0
"104","CkENBnSJFfPA1hY0qrqfCg",-0.004,0.15,0.717,0.97
"105","CoZ2mpsMBP8HUG1ymKoZTg",0.031,0.029,1.195,1.089
"106","CziOtnFSklimJnBgksDDwA",-0.029,0.038,-0.072,0.27
"107","DBtNuEt5U_dXoalpU8rbcQ",0.006,0,0.49,0.139
"108","DD3TxygdxBxKh9gbjCuLDA",0.056,0,0.375,0
"109","DOfiulOub9hVPBCtiDl9Fw",0.004,0.083,0.28,0.38
"110","D_WS8rM-DVygaCKbIErZ6Q",-0.02,0.457,0.285,0.33
"111","DqVpNtgFCP47n6frh-LREA",0,0.123,0.454,0.383
"112","DzpaiMQnB_sNhZPrgdvKHg",-0.042,0.128,0.26,-0.043
"113","E1R-xslwl7XeTN5lQ7mWPg",0.01,0.093,0.091,0.121
"114","E3WUDYEvCVMplIFMgeN1xw",-0.016,0.464,0.397,0.029
"115","E7RtIisUoRMcADSebBgNAA",-0.011,0.099,0.585,0.655
"116","EPkF-beh6gg_s3HtlAdfiw",-0.023,0.339,0.649,0.103
"117","ERzIS-WRLw-80_B4yqcG3Q",-0.004,0.081,-0.047,0.272
"118","EXYbKA1tocvOK_1tXxZXLA",-0.038,0.074,0.154,0.049
"119","EZc2myE2mYk2h9JK9qu8gw",0.008,0.125,0.972,0.532
"120","E_ac8Q20OJD9L8cafCBKaQ",0.014,0,0.765,0.572
"121","EtM079Cj7-B3G7jPsGYb_Q",-0.026,0.086,0.972,0.48
"122","F6KHs4GDw_9tpuv65M6PGA",-0.103,0.1,0.281,0.024
"123","FAc2Mv92KL00cbLdpAc0kQ",-0.07,0.047,-0.607,0.047
"124","FE5R_F7svUphKeUWuxA0JA",-0.008,0.076,0.033,0
"125","FEBwxZMEpxRwVXx9Fm0XZw",-0.017,0.039,1.539,0.249
"126","FH0MVF7kK0D76Hh4e7hXfQ",0.001,0.061,0.38,0.14
"127","FTFaEinJgzqY0ZHQMUSpQQ",-0.026,0.222,0.297,0.358
"128","FdoqtMadj4ybDAL7S-yUBQ",-0.009,0.154,0.971,0.343
"129","FpNhzu3w0XgyedhOLDuK8g",0.02,0.246,0.966,0.335
"130","G0rJD85hUDQ0Omz0rOFeOQ",-0.014,0.17,0.514,0.062
"131","G9rBwcWp56C8r6ZFwVuimA",-0.011,-0.156,-0.584,0.361
"132","Gg2ZHe57Ztuv8JaFj0mNhw",0.002,0.072,0.569,-0.112
"133","GtrY5U_M1ac3bYCk0DUeIg",-0.006,0.114,0.227,0.126
"134","GuzbBFraIq-fbkjfvaTRvg",0.041,0.08,2.555,1.139
"135","GwtVBqKzW9j0zNQ7nYnT5g",-0.014,0,-0.506,0
"136","HE-9l_2RSingLV2RZItdsA",0.008,0,0.157,0.046
"137","HOXbILWYZJkNUYYzYK_tZA",0.002,0.038,0.511,0.4
"138","Hlx8S2GLF7hMuIKx4sU-gg",-0.028,0,0.154,0.127
"139","I0jFTYVDs-WHwKR2XHQlRA",-0.001,0.264,0.476,0.106
"140","IDtLPgUrqorrpqSLdfMhZQ",0.003,0.176,0.063,0.349
"141","IRyKDIF51M0GcqS8yfPcYA",-0.046,-0.008,0.402,0.149
"142","IZZ7J14VnJGyUqYH1tgT6w",0.045,0,0.34,0.549
"143","IoihJkcF2FcE-sHOneat-A",0.017,-0.03,0.555,0.602
"144","JSrab1rTrhBq0X80o6fPrQ",0.019,0.125,0.301,-0.018
"145","JjmmSW_QQh2Db4fuIEMATA",-0.006,0.24,0.509,0.159
"146","JpwG8sDNsHuD0f6NF6YuGw",-0.051,0.216,-0.678,0.175
"147","Js3m_GdqNUGnEgXJ8WMtfQ",-0.078,0.021,-0.408,0
"148","KSYONgGtrK0nKXfroB-bwg",0.022,0.139,1.525,1.216
"149","L6nIOUwcTGgQKExGHmvTzQ",-0.045,0.299,0.555,-0.063
"150","LKM0wL3GMsi8NwEdz-_n8w",0.022,0.164,0.375,0.4
"151","LlGIlNJE2Nv_PXkH7l4Wmg",0.002,0.587,0.706,0.058
"152","LtxG9DTXCFpteVkD4SGBlw",0.022,0.064,-0.014,0.81
"153","LuPK46HMxRYEVTXVbBCR1g",0.014,0,0.374,0.516
"154","MJI-bNIn3QDgiGggm9Wp1w",-0.103,-0.045,-0.115,0.236
"155","MX2YGruhd0sMNHZGK7p5-Q",0.029,0.123,1.575,0.337
"156","MbzgGsMQpGyVrUJXi_Jw0Q",-0.012,0.012,1.585,0.196
"157","MwJsk91FJ73YzzmpVaJihQ",-0.011,0.016,0.268,0.268
"158","NCMTfUJYTasYZ64UuGC-rg",0.016,0.563,0.393,0
"159","NIQWO-Q_F598XlAvZnFVCA",-0.015,-0.022,0.517,0.85
"160","NIqFlHurHm0cj6QXczYbEQ",-0.085,0,-0.649,-0.122
"161","NTLvzcGNm4IUF_yXIwIhvA",0.073,0.094,1.117,0.056
"162","Nbht3URjeV94507do0goEw",-0.001,0,0.299,0
"163","NnAfFmqKH3PBeigmuAeFNA",-0.01,0.058,-0.029,0.122
"164","NuMR1xJu6Ewxaicc4yLOFw",-0.019,0.198,1.082,0.09
"165","O2lFAWD2WXXx5EKkzPutWQ",-0.045,0.111,0.358,0.032
"166","OM5beWRkxZSu1TShUC3EDw",-0.012,0.109,0.64,0.229
"167","OzGk7arJv6FPrWqaYSvyKQ",0.009,0,-0.025,0
"168","PHSda9zEwtFicCICD6TP1A",-0.018,0,0.109,0.193
"169","PNVbv2kyUIHeJTDPis2gRg",-0.01,0.061,0.491,0.107
"170","PPcz-0UtIJ8O7xDT551y2g",0.039,0.055,1.312,1.139
"171","PVo1orQ9R7ZHfg90QACh-w",-0.001,0,0.821,0.184
"172","P_QAD4_iMgqTaWd5On_n3g",-0.02,0,0.502,0.054
"173","QFh-h_OZ5Io-mBk32HN28A",0.006,0.205,1.046,0.402
"174","QLHgjBHBoeIUoEvIPvjHnw",0.016,0.052,0.732,0.333
"175","QaFbv7aLQBcfT4xMF1_WnQ",0.011,0.087,1.524,0.305
"176","Qkg16mN-8QR66gjzg6gMyw",0.022,0,0.435,0.512
"177","Qki5LF9vIN7KPM3gn2WkJQ",-0.013,0.195,0.467,0.129
"178","RRGLss4hhvZZuR0N6GQlSw",0,0,0.142,0.245
"179","R_8S3Iuhpzoi3nM-xq3kcw",-0.037,-0.097,-0.035,0
"180","RiOcLw__HPf_rTOTpYKnHQ",0.004,0,0.14,0.413
"181","Rl42JbSMsmNW3LRjsTMYAg",-0.038,0.258,0.266,-0.001
"182","S3QHy1sshUeZwXOYviVsXQ",0.004,0.136,0.272,0.493
"183","S4ujTsHtCOsHKrKkcjY30Q",0.054,0,0.921,0.58
